Event	ID	Name			Wwise Object Path	Notes
	1790026657	CharcoOut			\Default Work Unit\CharcoOut	
	1825837335	Ovejas			\Default Work Unit\Ovejas	
	2508554500	ActivarViolines			\Default Work Unit\ActivarViolines	
	2548238350	Radio			\Default Work Unit\Radio	
	2984164478	CharcoIn			\Default Work Unit\CharcoIn	
	3542090678	Monstruo			\Default Work Unit\Monstruo	
	3831537568	Puerta			\Default Work Unit\Puerta	
	4095160060	Ambiente			\Default Work Unit\Ambiente	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	216199835	Ambiente	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\1C\{1CDF31D4-F73B-5454-A31D-F8137BD4FD2A}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiente		5115840
	222230959	CharcoIn	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\EF\{EF0BCD0A-5DC2-742A-D408-1A353DD9CCF2}.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharcoIn		395668
	333127840	Monstruo	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\62\{62E87421-29F6-0625-5C91-66BAE9726166}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Monstruo		1601424
	412423577	Radio	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\6A\{6A83EED9-B308-6951-9F7B-5C87463AB933}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Radio		31968144
	448351408	Ovejas	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\A1\{A153D394-003B-6A34-BD06-A94DC354E8DF}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ovejas		857858
	662616917	Composocion1	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\6B\{6BFB811F-D608-24B7-85F1-CDE017820B99}.wem		\Interactive Music Hierarchy\Default Work Unit\Playlist\Composición\Composocion1		2425360
	700120483	CharcoOut	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\F7\{F73FA80B-C55B-4FFF-E429-3ABB93A3BEA2}.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharcoOut		492752
	713405476	Puerta	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\93\{93554558-C10E-631A-71A1-31EE9DE390E3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Puerta		443300
	1031939116	Composicion2	C:\Users\Nacho\Unity Projects\Prototipo-LostWhispers\Prototipo-LostWhispers\Prototipo-LostWhispers_WwiseProject\.cache\E4\{E400AE8D-C8D4-D7AD-04A6-AF11A38A3671}.wem		\Interactive Music Hierarchy\Default Work Unit\Playlist\Composición\Composicion2		2425360

